Tag7,,Tag3,
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
49.9,good,1,good
49.7,good,1,good
50,good,1,good
50,good,1,good
50.3,good,1,good
50.5,good,1,good
50.5,good,1,good
50.7,good,1,good
50.8,good,1,good
51,good,1,good
51.2,good,1,good
51.3,good,1,good
51.4,good,1,good
51.4,good,1,good
51.4,good,1,good
51.6,good,1,good
51.6,good,1,good
51.6,good,1,good
51.5,good,1,good
51.6,good,1,good
51.7,good,1,good
51.5,good,1,good
51.5,good,1,good
51.4,good,1,good
51.3,good,1,good
51.3,good,1,good
51.2,good,1,good
51.3,good,1,good
51.3,good,1,good
51.2,good,1,good
51.2,good,1,good
51.3,good,1,good
51.2,good,1,good
51.1,good,1,good
51,good,1,good
50.9,good,1,good
50.9,good,1,good
50.6,good,1,good
50.8,good,1,good
50.7,good,1,good
50.5,good,1,good
50.6,good,1,good
50.7,good,1,good
50.4,good,1,good
50.5,good,1,good
50.4,good,1,good
50.3,good,1,good
50.4,good,1,good
50.2,good,1,good
50.4,good,1,good
50.2,good,1,good
50.2,good,1,good
50.1,good,1,good
50.1,good,1,good
49.9,good,1,good
50,good,1,good
49.9,good,1,good
49.9,good,1,good
49.8,good,1,good
49.9,good,1,good
49.7,good,1,good
49.8,good,1,good
49.6,good,1,good
49.6,good,1,good
49.5,good,1,good
49.4,good,1,good
49.4,good,1,good
49.3,good,1,good
49.4,good,1,good
49.3,good,1,good
49.2,good,1,good
49.2,good,1,good
49.2,good,1,good
49,good,1,good
49.1,good,1,good
49.1,good,1,good
49,good,1,good
48.9,good,1,good
48.8,good,1,good
48.7,good,1,good
48.7,good,1,good
48.5,good,1,good
48.6,good,1,good
48.4,good,1,good
48.4,good,1,good
48.6,good,1,good
48.5,good,1,good
48.3,good,1,good
48.3,good,1,good
48.4,good,1,good
48.1,good,1,good
48.1,good,1,good
48,good,1,good
48.1,good,1,good
48,good,1,good
47.9,good,1,good
48.1,good,1,good
47.7,good,1,good
47.8,good,1,good
47.6,good,1,good
47.6,good,1,good
47.6,good,1,good
47.5,good,1,good
47.5,good,1,good
47.7,good,1,good
47.4,good,1,good
47.5,good,1,good
47.4,good,1,good
47.4,good,1,good
47.2,good,1,good
47.3,good,1,good
47.1,good,1,good
47.2,good,1,good
47.2,good,1,good
47.3,good,1,good
47.2,good,1,good
47.3,good,1,good
47.3,good,1,good
47.4,good,1,good
47.5,good,1,good
47.8,good,1,good
48.1,good,1,good
48.5,good,1,good
49.1,good,1,good
50.1,good,1,good
50.1,good,1,good
50.1,good,1,good
51.7,good,1,good
52.3,good,1,good
53.3,good,1,good
53.8,good,1,good
54.7,good,1,good
55.3,good,1,good
56,good,1,good
56.4,good,1,good
57.2,good,1,good
57.5,good,1,good
57.9,good,1,good
58.5,good,1,good
59.1,good,1,good
59.2,good,1,good
59.8,good,1,good
60.4,good,1,good
60.7,good,1,good
60.8,good,1,good
61.3,good,1,good
61.6,good,1,good
61.9,good,1,good
62,good,1,good
62.5,good,1,good
62.7,good,1,good
63,good,1,good
63.4,good,1,good
63.5,good,1,good
63.6,good,1,good
63.8,good,1,good
64,good,1,good
64.5,good,1,good
64.9,good,1,good
65,good,1,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
41.1,good,1,good
41.3,good,1,good
41.5,good,1,good
41.6,good,1,good
41.8,good,1,good
42,good,1,good
42.3,good,1,good
42.6,good,1,good
42.7,good,1,good
43.1,good,1,good
43.2,good,1,good
43.5,good,1,good
43.6,good,1,good
43.8,good,1,good
43.8,good,1,good
43.9,good,1,good
43.9,good,1,good
44.1,good,1,good
44.1,good,1,good
44.1,good,1,good
44.1,good,1,good
44.2,good,1,good
44.1,good,1,good
44.3,good,1,good
44.2,good,1,good
44.3,good,1,good
44.3,good,1,good
44.4,good,1,good
44.3,good,1,good
44.4,good,1,good
44.3,good,1,good
44.4,good,1,good
44.3,good,1,good
44.1,good,1,good
44.3,good,1,good
44.3,good,1,good
44.2,good,1,good
44.3,good,1,good
44.3,good,1,good
44.2,good,1,good
44.2,good,1,good
44.2,good,1,good
44.2,good,1,good
44.2,good,1,good
44.2,good,1,good
44,good,1,good
44.1,good,1,good
44.1,good,1,good
44.1,good,1,good
44.2,good,1,good
44,good,1,good
44.2,good,1,good
44,good,1,good
44.1,good,1,good
44.1,good,1,good
44.2,good,1,good
44.2,good,1,good
44.1,good,1,good
44.1,good,1,good
44.1,good,1,good
44.1,good,1,good
44.1,good,1,good
44,good,1,good
44,good,1,good
44,good,1,good
44,good,1,good
44,good,1,good
44,good,1,good
43.9,good,1,good
44.1,good,1,good
44,good,1,good
43.9,good,1,good
44,good,1,good
43.8,good,1,good
43.8,good,1,good
43.8,good,1,good
43.9,good,1,good
43.7,good,1,good
43.8,good,1,good
43.7,good,1,good
43.7,good,1,good
43.6,good,1,good
43.9,good,1,good
43.7,good,1,good
43.7,good,1,good
43.8,good,1,good
43.6,good,1,good
43.6,good,1,good
43.7,good,1,good
43.7,good,1,good
43.5,good,1,good
43.6,good,1,good
43.6,good,1,good
43.6,good,1,good
43.6,good,1,good
43.5,good,1,good
43.5,good,1,good
43.4,good,1,good
43.4,good,1,good
43.3,good,1,good
43.4,good,1,good
43.4,good,1,good
43.5,good,1,good
43.3,good,1,good
43.3,good,1,good
43.2,good,1,good
43.2,good,1,good
43.2,good,1,good
43.4,good,1,good
43.2,good,1,good
43.2,good,1,good
43,good,1,good
43.2,good,1,good
